417	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	2	3
419	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2
420	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	2	2	3
422	1	2	1	2	1	1	2	2	2	2	1	1	4	4	2	2	2	3
433	1	1	2	1	1	1	1	1.01431626709789	3	2	1.46794746961393	1	1.15133815298715	1	1	1	2	3
434	3	1	1	3	3	2	3	3	4	2	3	1	2	2	2.5054150774881	3	2	2
442	1	2	1	2	3	3	1	1	2	1	1	1	2	1	1	1	2	3
444	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	3
456	2	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	2	1
462	1	2	1	3	2	1	2	2	2	3	2	2	2	1	1	2	1	2
468	4	3	2	2	1	3	4	4	4	4	3	2.19177169774614	2.77625854352481	2.29401870377518	4	4	2	1
472	3	4	4	2	4	4	4	4	4	4	2	2	2	2	2	4	2	3
474	4	2	2	3	3	4	3	2	3	3	2	2	2	1	2	2	2	1
475	2	3	2	1	1	1	2	2	4	1	2	1	2	2	2	1	2	3
485	2	2	2	3	1	1	1	2	1	2	2	2	2	2	1	2	2	9
496	2	1	1	2	3	3	3	2	3	3	2	1	1	1	4	2	2	2
497	2	2	2	2	2	1	3	2	3	2	3	2	1	1	2	2	2	3
505	4	1	1	2	3	3	4	3	3	2	2	2	3	2	1	2	2	2
506	1	1	1	2	3	2	4	4	2	4	2	1	1	1	4	2	2	1
523	1	1	1	1	2	1	2	1	2.56763857720529	2	2	1	1	1	1	1	2	3
524	1	2	2	4	1	1	4	4	4	4	2	2	4	2	3	2	2	2
530	2	1	1	2	1	1	3	2	2	1	3	1	1	2	1	2	2	3
538	2	2	2	4	4	4	3	2	3	2	3	2	1	1	2	2	2	2
541	4	1	1	3	3	3	3	2	4	1	1	1	3	1	3	3	2	3
546	1	2	2	4	2	2	4	2	4	2	2	2	2	2	2	2	2	3
561	3	2	2	2	2	2	4	2	3	2	2	2	2	2	2	2	2	2
562	1	3	2	4	4	4	4	2	2	1	1	2	1	2	4	2	2	1
582	2	3	1	2	2	1	2	2	3	1	1	1	1	1	1	1	2	3
584	2	4	4	4	4	4	4	1	4	1.92004120685193	1	1	1	1	4	1	2	2
591	1	2	2	2	2	1	2	2	2	2	1	1	1	1	1	2	2	3
596	1	1	1	1	1	1	4	4	2	1	1	2	2	2	1	4	1	2
606	1	2	2	2	2	2	4	2	4	2	2	2	2	2	4	2	2	9
608	1	1	1	1	1	1	3	2	3	1	1	1	1	1	2	3	2	3
617	2	2	1	2	2	1	2	2	3	3	1	1	4	1	3	2	2	3
623	1	2	1	3	2	2	3	2	4	2	2	2	1	1	4	3	2	1
624	3	1	2	3	2	3	3	2	2	3	2	1	2	3	2	3	2	3
628	1	1	1	1	1	1	1	1	3	2	1	1	1	1	2	1	2	3
633	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
636	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3
646	1	1	2	2	2	2	3	2	3	1	1	1	1	1	2	2	2	2
666	2	3	3	3	3	4	1	1	4	1	1	1	4	3	1	1	2	1
668	1	1	1	2	2	1	2	1	3	2	2	1	1	1	2	1	2	3
680	1	2	1	2	2	3	2	1	4	2	1	1	2	1	1	1	2	3
691	4	3	4	2	2	4	4	4	1	1	3	1	1	1	4	4	2	2
692	1	4	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	1
693	2	2	1	4	3	2	3	4	1	3	2	2	3	3	4	4	2	2
694	2	2	2	2	2	3	2	1	2	3	1	1	1	1	2	1	2	2
695	1	2	1	2.44237257496913	3	2	2	1.92895187759167	3	2	2	2	1.73645323210784	1.5245635138103	2	1.79858358700602	2	1
706	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
713	1	1	1	2	2	1	2	2	3	1	1	1	2	2	2	2	2	3
735	4	2	2	2	2	2	4	4	4	4	2	2	4	3	4	4	2	2
736	4	3	1	4	4	4	4	4	4	4	4	3	1	1	1	4	2	3
738	1	4	2	1	1	1	4	2	4	4	1	3	3	2	1	1	2	2
740	3	1	1	4	2	2	4	2	4	2	3	2	1	1	1	1	2	1
747	1	2	2	2	2	1	3	2	3	1	1	1	1	1	4	2	2	3
749	3	4	1	4	2	4	4	4	3	4	1	1	1	1	4	4	1	3
751	2	1	1	1	2	1	1	2	4	3	1	1	1	1	1	1	2	3
755	2	1	1	2	1	2	3	2	3	2	2	1	1	1	3	2	2	2
763	1	1	1	1	1	1	1	2	2.20703814414972	1	1	1	1	1	1	1	2	3
774	1	2	2	2	2	2	3	2	3	3	2	1	2	1	2	2	2	1
776	1	1	1	3	2	1	2	2	2	1	1	1	1	1	3	1	2	2
791	4	2	2	2	3	4	3	2	2	3	2	2	2	2	3	3	2	2
801	2	3	3	2	3	2	4	4	4	2	2	2.03227567386139	2.50997694100217	2	3	3	2	1
803	1	2	2	2	2	1	3	3	3	2	2	2	2	2	3	2	2	1
807	2	3	3	2	3	3	4	4	4	4	2	3	3	3	2	2	1	3
808	2	2	2	2	2	2	3	2	3	2	3	2	1.96024426415463	2	2	2	2	2
817	1	4	1	3	4	4	2	2	2	1	2	2	2	2	2	2	2	1
826	1	1	1	1	2	2	1	1	3	1	1	1	1	1	1	1	2	3
834	1	1	1	3.09440927092682	4	4	3.1249004399536	3	4	1	1	1	1	1	2.34230982977262	2.39448091632804	1	1
835	3	1	2	2	2	2	4	4	4	4	3	4	3	2	2	2	2	2
836	1	2	3	4	1	1	1	2	4	1	1	1	1	3	1	1	2	2
841	2	1	1	1	1	2	3	3	4	3	2	1	2	1	1	2	2	3
843	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	2	3
856	1	1	1	4	1	1	4	4	4	2	1	1	2	1	1	4	1	1
860	1	1	1	3	2	2	3	2.31688293598762	2	4	2	2	2	2	2	2	2	3
862	2	1	1	1	2	2	2	1	3	1	1	1	1	1	2	2	2	3
866	2	2	1	2	2	2	3	3	2	3	1	1	3	1	3	2	2	1
870	4	4	4	3	1	3	4	3	3	2.80418364739863	4	1	2	1	4	2	2	1
880	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	2	2	3
889	3	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2
916	4	2	1	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2
934	1	2	1	2	1	1	2	2	3	1	1	1	1	2	2	1	2	3
935	1	1	1	1	2	1	2	1	3	3	1	1	1	1	1	1	2	3
942	1	1	1	2	2	1	2	2	2	1	1	1	2	1	3	2	2	3
958	2	1	1	3	4	2	2.66162028295519	2	4	2	1	3	2	2	1	2	2	2
966	1	1	1	2	2	1	2	1	3	3	2	1	2	1	2	1	2	3
971	2	4	2	2	1	4	4	4	3	4	2	1	4	4	4	4	2	2
974	4	3	3	3	1	4	4	4	4	3	1	3	1	1	4	4	1	2
982	1	3	2	4	3	2	2	3	3	3	2	2	2	2	2	2	2	2
993	1	2	2	3	3	2	3	2	3	2	3	2	2	2	2	2	2	1
1002	3	3	3	2	1	4	4	2	2	1	1	1	4	2.47598840006412	4	2	2	1
1003	2	2	2	2	2	3	2	2	2	1	2	2	2	1	3	2	2	1
1010	1	2	2	3	3	2	3	3	3	2	4	1	1	1	2	2	2	2
1014	1	2	2	2	4	2	4	2	4	3	2	2	2	2	3	3	2	2
1017	2	2	2	3	3	2	3	2	3	2	2	1	2	1	3	2	2	3
1026	2	2	2	3	2	3	3	3	3	2	2	2	2	2	2	3	2	2
1048	2	2	2	3	3	2	3	2	3	2	2	2	2	2	2	2	2	3
1053	1	2	2	3	3	1	2	2	3	2	3	2	2	2	2	2	2	1
1054	1	1	1	2	3	2	2	1	4	3	2	1	1	1	1	1	2	3
1055	3	4	4	2	2	4	4	2	4	4	2.61054109534915	2	1.92720381333488	1	4	4	1	2
1064	1	1	1	2	2	1	2	1	3	3	2	1	1.27605866533799	1	2	1	2	3
1080	2.63645263047686	2	2	3	2.64186848369158	3	3	2	3	3	3	2	3	2	2	2	1	1
1081	1	2	2	1	2	1	2	2	3	1	1	1	2	2	2	2	1	3
1084	2	2	2	2	3	3	2	2	3	2	3	2	2	2	3	2	2	2
1087	2	1	1	2	2	1	1	1	3	2	1	1	1	1	1	1	2	3
1095	4	4	3	2	2	4	4	2	4	2	2	4	2	2	2	2	2	1
1101	1	1	1	4	2	2	4	4	2	4	2	4	2	2	2	4	2	2
1120	1	1	1	2	1	1	1	2	3	1	1	1	2	1	1	1	2	3
1123	2	2	2	2	2	1	2	3	2	1	3	2	2	2	2	2	2	2
1125	1	1	2	1	2	1	2	1	2	2	2	2	2	1	3	2	2	1
1135	1	2	2	1	1	1	1	1	3	2	2	1	1	1	1	1	2	3
1145	4	4	3	2	2	2	1	4	4	2	1	4	3	2	4	1	1	1
1146	1	3	3	2	2.20590635377858	2	4	4	4	1	2	1	2.18594139940141	1.73643271146874	3	2	2	1
1153	1	1	1	1	1	1	2	1	3	3	1	1	1	1	2	2	2	3
1168	2	2	2	2	2	3	2	2	3	1	2	1	3	2	1	2	2	3
1174	1	2	2	3	3	2	3	3	4	2	2	2	2	3	4	2	2	2
1175	3	2	2	2	1	3	3	2	2	3	2	1	2	2	1	2	2	2
1191	3	3	1	2	2	2	3	2	2	2	2	2	2	3	2	2	2	1
1197	2	1	2	2	1	1	2	2	2	1	3	2	1	1	3	1	2	1
1207	1	2	3	3	2	4	3	2	3	3	3	2	2	2	2	2	2	2
1212	4	4	4	3	2	4	3	2	3	2	2	2	1	1	2	1	2	1
1226	4	1	1	3	2	1	4	4	3	4	1	4	4	4	1	4	2	2
1241	1	2	2	4	3	2	3	2	4	3	1	1	2	1	1	2	2	3
1244	3	2	2	2	1	3	2	2	2	2	1.6532493960258	1	3	1.91493599281109	2	2	2	2
1256	1	2	2	2	2	2	4	4	4	4	2	2	2	1	4	4	2	2
1260	3	2	2	2	2	2	4	2	2	2	2	1	2	2	2	1	2	2
1281	3	2	1	1	2	2	2	2	3	1	1	1	3	1	1	1	2	3
1283	3	4	4	4	4	4	4	4	4	4	1	1	2	4	1	3	2	1
1284	1	1	1	3	4	3	3	2	2	2	2	2	2	2	1	2	2	2
1285	2	4	2	2	4	4	4	4	4	2	3	4	1	2	4	3	2	1
1291	3	4	4	4	4	1	2	4	4	4	2	4	2	1	1	1	1	2
1292	2	3	2	3	2	2	3	2	4	2	1	4	4	2	2	2	2	1
1293	1	2	1	2	2	1	2	1	3	1	2	2	1	1	2	2	2	1
1307	2	2	1	2	2	2	1	1	1	2	2	1	1	1	1	2	2	3
1312	1	2	2	2	3	1	3	3	3	2	2	2	2	3	3	2	2	2
1322	3	2	4	4	4	2	4	4	4	2	2	2	2	2	2	2	2	1
1343	1	2	2	2	2	2	3	3	4	3	3	1	2	2	3	2	1	3
1358	2	3	2	3	3	2	3	2	2	3	2	2	2	2	2	2	1	2
1359	1	2	2	3	4	1	4	4	4	2	2	3	2	2	3	3	2	1
1367	3	2	1	2	2	4	4	2	4	2	2	4	4	4	4	2	2	3
1376	1	1	1	3	3	3	4	3	4	2	1	1	2	2	4	2	2	2
1383	3	3	3	2	2	2	4	4	4	4	3	4	4	4	2	4	1	1
1397	1	1	1	2	2	1	2	2	2	2	2	2	1	2	2	2	2	3
1406	1	4	2	4	2	2	4	4	4	2	2	2	3	3	2	2	2	1
1407	1	1	1	1	1	1	2	2	3	2	1	1	1	1	1	1	2	2
1419	1	3	3	2	3	2	3	2	4	2	2	1.79516227747239	2	2	2	2	2	2
1422	1	2	1	3	4	1	4	4	3	3	4	2.15457598510795	1.76661080649009	1	3.03795506363421	4	1	2
1429	4	4	3	1	3	1	3	3	3	1	4	3	3	1	3	3	2	9
1432	2	2	2	4	4	2	3	3	2	2	3	3	3	3	4	3	2	3
1434	1	2	2	4	3	2	3	2	4	3	2	1	2	2	2	2	1	2
1436	1	1	1	2	3	1	1	2	3	1	1	1	1	1	1	1	2	3
1440	4	3	2	2	2	4	1	1	3	1	1	1	1	1	2	2	1	3
1454	1	1	1	2	2	4	2	2	3	1	1	1	2	2	2	2	2	2
1457	2	2	2	2	3	2	3	3	4	2	2	2	4	2	3	2	2	1
1463	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	2	3
1465	1	2	1	4	2	1	4	4	1	1	1	2	1.69547166281758	1	2.6787756767537	2.7635699732233	2	3
1471	2	2	1	2	2	2	2	2	3	2	2	1	2	1	2	2	2	3
1491	1	3	2	2	2	2	3	3	4	4	3	2	2	3	3	3	2	3
