12	2	2	3	3	3	3	2	2	2	2	3	2	3	1	3	1	3	3	1
54	3	3	2	2	2	1	3	2	2	2	2	1	1	2	3	1	3	3	2
67	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	4	3
80	2	2	2	3	2	2	3	2	1	2	3	2	2	2	2	2	4	4	2
86	2	3	3	4	3	4	4	3	3	3	3	3	3	3	2	2	2	3	1
108	4	4	1	1	4	1	3	1	2	2	1	1	1	1	1	1	3	3	1
119	2	1	3	2	1	1	2	1	2	1	2	1	2	1	1	1	3	3	2
135	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	4	4	2
193	1	1	3	3	2	3	3	2	3	1	1	1	1	1	1	1	3	3	2
199	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	4	4	3
222	1	1	2	1	1	2	3	2	99	99	2	2	2	1	1	1	3	3	1
236	1	1	2	2	3	1	2	1	1	1	2	3	2	1	2	1	3	4	2
249	1	1	2	3	1	1	2	1	1	1	3	1	1	1	1	1	3	4	2
264	3	2	1	1	3	4	4	4	4	4	1	1	1	4	2	3	1	1	1
270	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3
325	2	2	2	2	4	3	2	2	1	2	3	3	3	2	1	1	3	3	1
334	2	2	3	3	2	2	3	3	2	2	2	2	2	2	2	1	2	1	2
337	1	1	2	2	1	1	2	2	2	2	3	1	1	1	1	1	3	3	1
348	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	1	3	3	2
360	2	2	1	1	4	4	2	1	1	1	2	2	2	1	1	1	4	4	1
385	1	2	1	2	3	4	3	3	2	2	3	3	2	1	3	1	3	3	2
405	2	2	1	3	3	4	4	1	4	2	1	3	1	1	4	4	2	3	4
437	2	1	2	3	2	1	2	2	1	2	2	2	2	2	2	2	3	4	2
456	2	1	1	2	2	3	3	2	1	1	3	2	1	1	3	2	4	3	2
464	2	2	2	2	1	2	2	2	1	1	3	2	1	1	1	1	4	4	3
465	2	3	2	2	2	4	2	1	1	3	4	4	2	1	1	1	4	3	2
482	1	2	3	3	2	4	3	2	4	3	4	2	2	99	2	2	3	3	3
520	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2
540	1	1	2	3	2	2	3	2	3	2	2	1	2	1	2	1	3	1	1
560	1	1	4	2	1	1	1	1	2	1	3	1	1	1	1	1	4	4	2
585	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	3	4	1
591	1	3	4	4	1	1	4	3	4	4	4	3	2	1	2	1	3	3	1
617	1	1	4	3	2	3	2	2	2	2	1	2	2	2	2	2	4	3	4
618	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	2
626	1	1	4	4	1	2	4	3	1	2	1	1	99	99	99	2	4	99	1
647	1	2	2	1	1	1	3	2	1	2	2	3	1	1	2	2	3	2	2
657	1	1	1	4	1	1	1	1	1	1	1	1	2	1	1	1	4	3	2
675	2	2	3	4	3	4	3	3	3	3	2	3	2	2	3	2	3	3	2
683	1	1	1	1	1	2	1	2	3	2	2	2	2	1	1	1	3	3	2
707	1	2	4	4	1	3	3	2	1	1	2	1	1	1	2	3	3	3	2
725	1	1	2	4	1	1	4	3	4	3	1	2	2	2	3	99	3	2	2
728	3	2	3	3	1	1	3	2	2	1	3	3	2	1	2	1	3	4	2
745	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	3	3	2
757	3	3	3	4	1	2	2	1	2	1	3	2	2	1	1	1	4	4	2
768	2	4	4	4	4	4	4	4	4	4	4	2	3	2	2	2	3	2	4
781	2	2	3	3	2	2	2	2	2	2	3	2	2	1	2	2	3	3	2
785	2	2	3	2	3	4	4	4	4	4	4	2	3	2	3	2	2	1	1
787	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	4	2
810	4	3	3	3	1	2	3	2	2	2	2	2	2	1	1	1	3	3	1
843	3	2	1	2	1	1	3	1	1	3	2	4	1	1	2	1	2	2	2
881	1	1	2	2	4	1	2	2	2	2	2	2	2	1	1	1	4	4	2
897	2	2	2	1	2	2	2	2	2	2	2	1	2	2	1	1	4	4	1
