9	9174	2	4	3	2	2	2	11	3	2
12	12072	1	1	3	4	2	1	2	1.66666666666667	2.33333333333333
15	5382	3	1	4	4	1	3	9	2.66666666666667	2.66666666666667
18	14290	1	2	2	3	4	3	1.8	1.66666666666667	3.33333333333333
22	15260	1	1	1	4	2	3	.9	1	3
25	3352	2	2	4	4	2	4	5.7	2.66666666666667	3.33333333333333
27	7331	3	4	4	2	1	3	5.9	3.66666666666667	2
28	10041	2	3	2	3	2	3	11.1	2.33333333333333	2.66666666666667
35	14383	1	2	1	2	1	3	1.2	1.33333333333333	2
37	14193	2	1	2	4	1	4	1.4	1.66666666666667	3
44	16073	2	1	3	3	3	3	1.7	2	3
47	18100	2	3	3	1	1	1	12.8	2.66666666666667	1
48	9471	2	2	4	1	2	1	2.8	2.66666666666667	1.33333333333333
51	14285	1	1	1	2	2	2	2.8	1	2
63	5111	4	4	3	2	2	2	17.4	3.66666666666667	2
65	15159	2	2	3	4	3	3	1.8	2.33333333333333	3.33333333333333
69	6531	3	4	4	1	2	1	8.9	3.66666666666667	1.33333333333333
86	8117	4	2	3	3	4	2	14.1	3	3
102	15101	1	1	1	4	4	4	2	1	4
108	5315	2	3	3	3	2	2	19.7	2.66666666666667	2.33333333333333
114	5112	2	1	2	3	3	2	17.3	1.66666666666667	2.66666666666667
130	5111	2	4	4	2	2	2	17.4	3.33333333333333	2
136	12061	2	3	3	4	4	4	2.2	2.66666666666667	4
139	6435	2	2	4	3	4	2	10.7	2.66666666666667	3
150	14292	2	4	3	3	2	3	1.2	3	2.66666666666667
151	16055	1	1	1	2	3	2	2.4	1	2.33333333333333
158	9474	1	2	3	2	3	2	5.2	2	2.33333333333333
160	1058	1	3	3	3	2	3	3.5	2.33333333333333	2.66666666666667
166	5766	2	3	4	1	1	1	7	3	1
174	9773	2	2	3	4	3	3	6.1	2.33333333333333	3.33333333333333
180	5754	2	4	2	1	1	1	9.2	2.66666666666667	1
186	5570	1	3	2	1	1	1	8.4	2	1
192	8222	2	2	1	3	1	2	21.6	1.66666666666667	2
203	2000	3	3	4	1	1	1	15.4	3.33333333333333	1
206	8231	1	1	1	3	99	99	17.4	1	3
208	17200	1	1	2	3	1	3	12.8	1.33333333333333	2.33333333333333
209	9676	2	3	3	4	2	2	10.8	2.66666666666667	2.66666666666667
217	3254	2	2	3	3	3	3	5.9	2.33333333333333	3
222	13061	1	1	2	2	1	2	1.6	1.33333333333333	1.66666666666667
224	9377	1	1	3	2	2	3	2.7	1.66666666666667	2.33333333333333
228	14286	1	1	1	3	3	3	1.7	1	3
229	9162	2	2	2	1	1	1	22.8	2	1
235	1003	2	3	3	2	2	3	9.1	2.66666666666667	2.33333333333333
237	12063	2	2	2	2	2	2	1.7	2	2
238	15367	1	1	1	4	99	4	1.4	1	4
251	15101	1	1	1	1	1	1	2	1	1
252	8226	2	3	2	1	1	1	10.4	2.33333333333333	1
262	5513	2	4	4	4	4	3	14.3	3.33333333333333	3.66666666666667
270	14167	2	1	2	2	2	3	1.8	1.66666666666667	2.33333333333333
276	5774	2	1	3	3	3	3	7.4	2	3
279	8415	2	3	3	1	2	1	13.2	2.66666666666667	1.33333333333333
280	3254	1	1	3	4	1	2	5.9	1.66666666666667	2.33333333333333
287	13056	1	3	3	3	2	3	1.3	2.33333333333333	2.66666666666667
295	18100	2	2	4	2	2	2	12.8	2.66666666666667	2
303	10044	1	1	4	1	1	1	8.4	2	1
305	12064	2	3	4	3	2	2	2.1	3	2.33333333333333
309	5382	2	2	2	4	3	4	9	2	3.66666666666667
312	16073	4	2	4	4	2	4	1.7	3.33333333333333	3.33333333333333
313	9177	3	3	4	3	2	2	7.3	3.33333333333333	2.33333333333333
328	14272	2	1	4	3	2	2	1.6	2.33333333333333	2.33333333333333
330	5113	2	3	2	2	2	2	11.4	2.33333333333333	2
335	16073	1	1	1	4	3	3	1.7	1	3.33333333333333
339	3152	2	3	4	4	4	4	7.6	3	4
341	3253	1	2	2	3	2	2	6.9	1.66666666666667	2.33333333333333
351	5117	3	4	4	1	1	1	9.5	3.66666666666667	1
359	3457	2	4	3	2	2	2	4.5	3	2
360	9274	2	1	3	2	1	3	4.7	2	2
362	15151	1	1	1	3	2	4	1.2	1	3
379	8222	2	2	3	3	1	2	21.6	2.33333333333333	2
381	8136	2	4	4	1	2	2	8.9	3.33333333333333	1.66666666666667
388	9577	2	3	2	2	2	3	6.1	2.33333333333333	2.33333333333333
389	6414	1	4	2	1	99	1	19.3	2.33333333333333	1
407	1056	2	1	4	4	4	3	7.1	2.33333333333333	3.66666666666667
409	6531	2	2	3	2	2	2	8.9	2.33333333333333	2
410	16073	1	1	2	3	3	3	1.7	1.33333333333333	3
412	9661	3	4	3	1	1	1	14.1	3.33333333333333	1
416	6435	1	1	1	2	1	2	10.7	1	1.66666666666667
424	5962	2	4	3	3	2	2	13.1	3	2.33333333333333
439	14262	2	1	1	3	2	1	3.6	1.33333333333333	2
453	14272	1	1	1	4	4	4	1.6	1	4
458	5117	1	3	2	3	2	3	9.5	2	2.66666666666667
466	8128	2	2	3	4	2	2	5.4	2.33333333333333	2.66666666666667
473	9184	2	3	2	2	2	2	12.5	2.33333333333333	2
476	16053	2	1	2	99	2	2	4.7	1.66666666666667	2
481	6631	2	2	2	3	99	3	5.9	2	3
494	15369	2	1	2	2	2	3	1.3	1.66666666666667	2.33333333333333
497	9373	2	2	3	3	4	4	4.1	2.33333333333333	3.66666666666667
510	7134	2	2	2	3	2	3	4.1	2	2.66666666666667
511	16067	2	4	3	3	1	3	1.6	3	2.33333333333333
513	14173	2	2	2	2	1	2	1.5	2	1.66666666666667
516	3403	2	3	4	1	1	1	7.1	3	1
524	8426	4	4	4	3	2	3	5.8	4	2.66666666666667
527	3454	3	4	4	2	2	3	4.3	3.66666666666667	2.33333333333333
546	15260	1	1	2	3	3	3	.9	1.33333333333333	3
549	5913	1	2	4	2	2	2	16.3	2.33333333333333	2
558	12067	1	1	1	4	4	3	3.1	1	3.66666666666667
569	5566	1	1	3	1	1	1	6	1.66666666666667	1
571	16061	1	4	3	1	1	1	1.2	2.66666666666667	1
572	14365	2	1	2	2	2	2	5.1	1.66666666666667	2
575	7340	1	1	2	4	4	4	3.2	1.33333333333333	4
580	14182	3	4	4	3	2	3	1.3	3.66666666666667	2.66666666666667
581	9576	2	3	4	1	1	1	4.3	3	1
589	5978	2	1	3	3	1	3	9.5	2	2.33333333333333
590	12072	1	1	2	3	3	2	2	1.33333333333333	2.66666666666667
606	9671	2	1	4	4	4	4	7.3	2.33333333333333	4
607	14375	1	1	1	4	3	3	1.6	1	3.33333333333333
609	14272	1	1	1	1	1	2	1.6	1	1.33333333333333
611	14161	1	2	2	2	1	2	3.7	1.66666666666667	1.66666666666667
614	17200	2	3	3	4	2	4	12.8	2.66666666666667	3.33333333333333
621	9277	3	3	3	3	1	1	4.2	3	1.66666666666667
625	3253	2	3	4	99	2	2	6.9	3	2
634	7339	2	3	3	2	1	2	6.7	2.66666666666667	1.66666666666667
641	14262	2	4	3	1	1	1	3.6	3	1
642	14389	1	2	2	2	2	2	1.1	1.66666666666667	2
653	5911	1	3	3	1	2	1	11.7	2.33333333333333	1.33333333333333
659	3154	2	2	2	2	3	2	5.6	2	2.33333333333333
662	3357	2	3	3	4	1	1	4.8	2.66666666666667	2
663	7137	2	2	2	4	3	2	5	2	3
671	16052	2	2	1	4	2	2	1.1	1.66666666666667	2.66666666666667
675	6435	3	1	3	2	1	1	10.7	2.33333333333333	1.33333333333333
679	15369	1	1	1	4	4	4	1.3	1	4
680	2000	2	3	4	2	2	2	15.4	3	2
683	12060	2	3	2	4	2	3	2.2	2.33333333333333	3
689	5315	2	4	4	1	1	1	19.7	3.33333333333333	1
703	5113	1	1	2	4	2	3	11.4	1.33333333333333	3
705	4011	2	4	4	4	2	3	12.3	3.33333333333333	3
706	14285	1	1	2	1	1	1	2.8	1.33333333333333	1
709	7111	2	4	4	4	1	4	8.7	3.33333333333333	3
720	9562	2	3	3	1	1	1	14.6	2.66666666666667	1
738	5358	1	4	3	4	4	4	9.7	2.66666666666667	4
742	8215	2	1	3	1	1	1	9.3	2	1
745	15369	1	2	2	3	3	2	1.3	1.66666666666667	2.66666666666667
747	8435	2	3	2	1	1	1	10.1	2.33333333333333	1
753	3251	1	1	1	4	4	2	5.2	1	3.33333333333333
754	9177	2	4	3	1	1	1	7.3	3	1
759	9362	4	1	2	1	2	1	10.4	2.33333333333333	1.33333333333333
771	6532	1	1	1	4	4	4	9.1	1	4
772	5382	2	99	2	1	1	1	9	2	1
794	18100	1	1	4	3	2	3	12.8	2	2.66666666666667
797	12067	2	2	2	1	1	2	3.1	2	1.33333333333333
809	3201	2	4	3	2	1	2	15.1	3	1.66666666666667
811	12068	1	2	1	2	1	2	1.9	1.33333333333333	1.66666666666667
812	6438	3	3	4	2	1	1	13.4	3.33333333333333	1.33333333333333
815	12063	1	2	2	3	99	3	1.7	1.66666666666667	3
819	14374	1	2	2	3	2	3	2.7	1.66666666666667	2.66666666666667
821	15370	1	1	2	4	3	4	1.6	1.33333333333333	3.66666666666667
836	5354	2	1	2	2	1	2	10.7	1.66666666666667	1.66666666666667
837	5911	1	2	2	2	2	2	11.7	1.66666666666667	2
838	14287	1	1	2	1	2	2	1.5	1.33333333333333	1.66666666666667
845	3251	2	4	4	4	4	4	5.2	3.33333333333333	4
863	9275	2	1	3	3	1	2	3.8	2	2
864	13003	1	1	1	1	4	1	2.6	1	2
868	15303	2	1	4	2	2	2	2.8	2.33333333333333	2
870	5358	1	1	2	2	3	2	9.7	1.33333333333333	2.33333333333333
886	14280	1	1	1	3	3	3	2.3	1	3
896	14379	1	2	2	4	4	4	2.1	1.66666666666667	4
903	8437	2	2	2	3	2	3	8.1	2	2.66666666666667
920	5111	2	3	3	3	2	4	17.4	2.66666666666667	3
926	1060	2	4	4	1	1	1	5.3	3.33333333333333	1
930	5166	2	3	4	2	1	2	8.1	3	1.66666666666667
936	15357	1	1	2	2	2	2	1.2	1.33333333333333	2
950	15357	1	2	2	2	2	2	1.2	1.66666666666667	2
954	9274	2	3	3	1	99	1	4.7	2.66666666666667	1
960	3151	2	3	4	2	1	2	5.7	3	1.66666666666667
963	13054	2	1	3	3	2	2	1.8	2	2.33333333333333
966	8116	1	3	2	3	2	99	15.1	2	2.5
970	9775	3	4	4	2	2	1	11.8	3.66666666666667	1.66666666666667
971	16076	1	1	3	3	2	2	1.5	1.66666666666667	2.33333333333333
974	6635	2	3	4	2	2	2	5.6	3	2
977	3156	3	4	4	1	1	1	5.7	3.66666666666667	1
980	12051	1	1	1	1	1	99	2.6	1	1
998	8335	2	3	2	2	2	2	12	2.33333333333333	2
1000	1051	2	1	3	3	1	2	2.9	2	2
1006	10045	2	1	1	3	3	3	6.9	1.33333333333333	3
1014	5911	4	2	4	3	2	3	11.7	3.33333333333333	2.66666666666667
1016	7231	1	3	2	4	2	4	4.6	2	3.33333333333333
1030	5113	1	1	1	3	3	3	11.4	1	3
1037	12051	1	1	3	2	1	2	2.6	1.66666666666667	1.66666666666667
1039	14365	2	1	4	2	2	3	5.1	2.33333333333333	2.33333333333333
1041	7318	2	1	3	3	1	3	11.3	2	2.33333333333333
1049	9162	2	1	3	3	99	3	22.8	2	3
1055	18100	2	3	3	1	1	1	12.8	2.66666666666667	1
1059	8111	2	2	2	1	1	1	24.5	2	1
1069	5158	3	4	4	4	2	1	11.8	3.66666666666667	2.33333333333333
1074	8317	1	1	1	4	3	4	7.3	1	3.66666666666667
1076	16063	2	2	3	3	2	2	1.2	2.33333333333333	2.33333333333333
1086	3459	2	2	2	1	1	1	4.9	2	1
1087	14177	3	1	2	4	4	4	2	2	4
1093	13057	2	1	3	3	2	3	1.1	2	2.66666666666667
1095	16069	1	1	2	4	4	4	1.5	1.33333333333333	4
1097	1051	1	2	3	4	4	4	2.9	2	4
1102	5113	2	1	4	1	2	1	11.4	2.33333333333333	1.33333333333333
1105	3156	1	4	4	4	3	1	5.7	3	2.66666666666667
1115	14262	1	1	1	2	3	2	3.6	1	2.33333333333333
1117	16051	2	1	2	2	2	2	2.2	1.66666666666667	2
1118	5758	2	2	2	3	3	3	7.5	2	3
1131	2000	1	2	4	1	1	1	15.4	2.33333333333333	1
1146	3457	2	1	4	2	1	2	4.5	2.33333333333333	1.66666666666667
1150	5315	3	2	3	3	1	99	19.7	2.66666666666667	2
1152	14262	1	1	1	3	2	2	3.6	1	2.33333333333333
